"f1","f2","f3","f4","f5","dangerous","trial","sequence","sim_response","correct","performance","c","w","agent","subject"
0,1,1,0,0,0,92,92,1,0,0.532608695652174,1,"equal","equal_c1",1
0,0,0,1,0,0,93,93,0,1,0.537634408602151,1,"equal","equal_c1",1
1,1,0,1,0,0,94,94,1,0,0.531914893617021,1,"equal","equal_c1",1
1,1,1,1,1,1,95,95,0,0,0.526315789473684,1,"equal","equal_c1",1
1,1,0,1,1,0,96,96,0,1,0.53125,1,"equal","equal_c1",1
0,0,1,1,0,0,1,1,0,1,1,1,"equal","equal_c1",2
1,1,1,1,0,1,2,2,1,1,1,1,"equal","equal_c1",2
0,0,1,0,0,0,3,3,0,1,1,1,"equal","equal_c1",2
1,1,1,0,1,1,4,4,0,0,0.75,1,"equal","equal_c1",2
1,1,1,1,1,1,5,5,1,1,0.8,1,"equal","equal_c1",2
0,1,0,0,1,0,6,6,1,0,0.666666666666667,1,"equal","equal_c1",2
1,1,1,1,1,1,7,7,0,0,0.571428571428571,1,"equal","equal_c1",2
0,1,0,1,0,0,8,8,1,0,0.5,1,"equal","equal_c1",2
0,0,1,0,1,0,9,9,1,0,0.444444444444444,1,"equal","equal_c1",2
0,0,1,1,1,0,10,10,0,1,0.5,1,"equal","equal_c1",2
1,0,1,1,0,1,11,11,0,0,0.454545454545455,1,"equal","equal_c1",2
1,1,1,1,1,1,12,12,1,1,0.5,1,"equal","equal_c1",2
1,0,1,0,1,1,13,13,0,0,0.461538461538462,1,"equal","equal_c1",2
0,0,1,1,1,0,14,14,0,1,0.5,1,"equal","equal_c1",2
1,0,1,1,1,1,15,15,0,0,0.466666666666667,1,"equal","equal_c1",2
1,1,0,1,1,0,16,16,1,0,0.4375,1,"equal","equal_c1",2
1,1,0,1,0,0,17,17,0,1,0.470588235294118,1,"equal","equal_c1",2
0,1,1,0,0,0,18,18,1,0,0.444444444444444,1,"equal","equal_c1",2
1,1,1,1,0,1,19,19,0,0,0.421052631578947,1,"equal","equal_c1",2
1,0,1,1,0,1,20,20,0,0,0.4,1,"equal","equal_c1",2
0,0,0,1,1,0,21,21,0,1,0.428571428571429,1,"equal","equal_c1",2
1,1,0,1,1,0,22,22,0,1,0.454545454545455,1,"equal","equal_c1",2
1,0,0,1,1,0,23,23,1,0,0.434782608695652,1,"equal","equal_c1",2
1,0,1,0,1,1,24,24,0,0,0.416666666666667,1,"equal","equal_c1",2
0,1,0,1,1,0,25,25,0,1,0.44,1,"equal","equal_c1",2
1,0,1,0,0,1,26,26,1,1,0.461538461538462,1,"equal","equal_c1",2
0,1,1,1,0,0,27,27,0,1,0.481481481481481,1,"equal","equal_c1",2
1,1,1,1,1,1,28,28,1,1,0.5,1,"equal","equal_c1",2
1,0,1,1,1,1,29,29,0,0,0.482758620689655,1,"equal","equal_c1",2
1,1,1,0,0,1,30,30,1,1,0.5,1,"equal","equal_c1",2
1,0,1,0,1,1,31,31,0,0,0.483870967741935,1,"equal","equal_c1",2
0,0,0,1,0,0,32,32,1,0,0.46875,1,"equal","equal_c1",2
1,1,1,1,1,1,33,33,1,1,0.484848484848485,1,"equal","equal_c1",2
1,1,0,1,0,0,34,34,1,0,0.470588235294118,1,"equal","equal_c1",2
1,1,1,0,1,1,35,35,1,1,0.485714285714286,1,"equal","equal_c1",2
